date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d
2025-12-26,477.0,482.1549987792969,475.1499938964844,481.19000244140625,1150700,0.0,0.0,50.0,50.0
2025-12-29,478.2950134277344,483.2900085449219,474.6340026855469,475.9100036621094,1314600,0.0,0.0,50.0,50.0
2025-12-30,476.0,478.1199951171875,472.23699951171875,475.6300048828125,1168100,0.0,0.0,50.0,50.0
2025-12-31,475.9800109863281,476.05999755859375,468.3999938964844,468.760009765625,1661000,0.0,0.0,50.0,50.0
2026-01-02,474.0,474.0,449.4549865722656,453.5799865722656,3325000,0.0,0.0,50.0,50.0
2026-01-05,458.6300048828125,466.489990234375,455.0050048828125,456.54998779296875,2615700,0.0,0.0,50.0,50.0
2026-01-06,457.7749938964844,460.4599914550781,451.2900085449219,458.32000732421875,2340100,0.0,0.0,50.0,50.0
2026-01-07,462.9700012207031,486.54998779296875,462.28399658203125,478.9100036621094,3967100,0.0,0.0,50.0,50.0
2026-01-08,478.20001220703125,479.989990234375,460.6300048828125,463.8699951171875,2455500,0.0,0.0,46.29,48.76
2026-01-09,472.19000244140625,475.9800109863281,466.25,470.6099853515625,2397500,0.0,0.0,49.87,49.13
2026-01-12,460.25,468.6099853515625,459.6499938964844,466.989990234375,1938900,0.0,0.0,49.0,49.09
2026-01-13,467.0,476.54998779296875,460.94000244140625,468.0199890136719,2693300,0.0,0.0,49.35,49.18
2026-01-14,465.79998779296875,477.0,451.760009765625,460.70001220703125,3754900,0.0,0.0,43.0,47.12
2026-01-15,463.9599914550781,472.30999755859375,450.0,455.0,2835000,0.0,0.0,33.23,42.49
2026-01-16,456.75,459.70001220703125,443.614990234375,453.8800048828125,3437900,0.0,0.0,30.12,38.37
2026-01-20,443.0260009765625,450.2650146484375,440.2309875488281,442.7300109863281,3231500,0.0,0.0,21.88,32.87
2026-01-21,445.0,456.1199951171875,439.1700134277344,445.8800048828125,2686800,0.0,0.0,20.07,28.6
2026-01-22,454.45001220703125,454.4700012207031,446.2799987792969,453.7699890136719,1514700,0.0,0.0,26.24,27.82
2026-01-23,454.69000244140625,458.8599853515625,449.4219970703125,452.489990234375,1770800,0.0,0.0,29.23,28.29
2026-01-26,453.989990234375,469.9599914550781,452.489990234375,468.3299865722656,1957100,0.0,0.0,45.18,33.92
2026-01-27,478.4750061035156,487.20001220703125,473.3999938964844,476.6600036621094,2834500,0.0,0.0,56.14,41.33
2026-01-28,479.4599914550781,487.0,468.9100036621094,469.19000244140625,2382500,0.0,0.0,58.26,46.97
2026-01-29,460.739990234375,461.54998779296875,431.3900146484375,444.6199951171875,5230300,0.0,0.0,46.74,46.89
2026-01-30,440.5,448.739990234375,438.25,441.4049987792969,2595400,0.0,0.0,37.14,43.64
2026-02-02,440.0,447.239990234375,434.7439880371094,438.8500061035156,2073700,0.0,0.0,29.22,38.84
2026-02-03,435.9200134277344,436.7090148925781,415.04998779296875,421.7300109863281,3834900,0.0,0.0,22.56,33.41
2026-02-04,411.94000244140625,421.9800109863281,401.54998779296875,415.3599853515625,4733000,0.0,0.0,20.42,29.08
2026-02-05,414.7900085449219,416.2900085449219,374.5199890136719,377.1600036621094,6053200,0.0,0.0,14.39,24.18
2026-02-06,384.94000244140625,396.989990234375,378.3699951171875,395.5,4943000,0.0,0.0,15.8,21.39
2026-02-09,396.18499755859375,410.75,386.2539978027344,408.0400085449219,2825900,0.0,0.0,20.47,21.08
2026-02-10,401.2099914550781,418.8800048828125,400.7799987792969,413.3900146484375,3121400,0.0,0.0,28.53,23.57
2026-02-11,413.70001220703125,416.5899963378906,404.3999938964844,415.80999755859375,2470900,0.0,0.0,37.57,28.23
2026-02-12,418.8999938964844,420.6700134277344,402.2879943847656,411.5400085449219,3502500,0.0,0.0,42.01,32.83
2026-02-13,416.9100036621094,432.8500061035156,412.5799865722656,429.6400146484375,3536700,0.0,0.0,57.55,41.07
2026-02-17,423.5920104980469,425.8819885253906,400.0199890136719,414.2850036621094,4428100,0.0,0.0,61.09,47.74
2026-02-18,409.75,421.760009765625,402.0,415.760009765625,2752700,0.0,0.0,64.3,53.26
2026-02-19,417.6199951171875,424.0,409.9700012207031,422.1400146484375,2000400,0.0,0.0,69.64,58.72
